X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
1266129.42697477,217679.60085544,1,6300018,763612,630,Pier/Terminals 8-18,Pier/Terminals 8 - 18,2400 11th Ave SW ,98134
1280135.75034003,274175.280842856,2,351058,0000000,350,Briarcrest School Elementary,Briarcrest School Elementary,2715 NE 158TH ST,98155
1323739.48006153,178969.913511187,3,351059,0000000,350,Briarwood Elementary School,Briarwood Elementary,17020 SE 134TH ST,98059
1316343.28192744,283405.542237937,4,351061,0000000,350,Brick Wood Fired Pizza @ Callahan Cellars,Brick Wood Fired Pizza,19501 144th AVE NE STE D900,98072
1276469.0319517,128580.310550436,5,351062,0000000,350,Brickyard Pub,Brickyard Pub,28845 MILITARY RD S,98003
1259869.3719096,202548.897521108,6,351063,0000000,350,Bridge Park,Bridge Park,3204 SW MORGAN ST,98126
1312439.82057427,245808.327078193,7,351065,0000000,350,Bridle Trails Dairy Queen,Bridle Trails Dairy Queen,6811 132ND AVE NE,98033
1311993.75027218,245746.280614361,8,351066,0000000,350,Bridle Trails Red Apple Market,Bridle Trails Red Apple Market,6625 132ND AVE NE,98033
1268644.44556677,225739.137885943,9,351074,0000000,350,Britt'S Pickles,Britt'S Pickles,1500 PIKE PL #15,98101
1301217.36336043,260915.697125852,10,351075,0000000,350,Brix Wine Cafe,Brix Wine Cafe,9749 NE 119TH WAY,98034
1268705.62621869,226279.48260577,11,351076,0000000,350,Broadacre Deli,Broadacre Deli,1601 2ND AVE,98101
1281000.05405761,236976.05832544,12,351079,0000000,350,Broadmoor Golf Club-10Th,Broadmoor Golf Club,2340 BROADMOOR DR E,98112
1281000.05405761,236976.05832544,13,351080,0000000,350,Broadmoor Golf Club Kitchen,Broadmoor Golf Club,2340 BROADMOOR DR E,98112
1266444.44537361,268001.04417561,14,351081,0000000,350,Broadview/Thomson School,Broadview/Thomson School,13052 GREENWOOD AVE N,98133
1273575.16897303,224719.462759942,15,351082,0000000,350,Broadway Market,Broadway Market,508 BROADWAY AVE,98122
1273687.64315753,227644.682631269,16,351083,0000000,350,Broadway Shell,Broadway Shell,1500 BROADWAY,98122
1268576.7855971,273501.419001609,17,351084,0000000,350,Broiler Bay,Broiler Bay,15226 AURORA AVE N,98133
1302701.21800427,179613.130072519,18,351086,0000000,350,Bronson  Big Foot Java,Bronson  Big Foot Java,1408 BRONSON WAY BLDG B,98057
1302811.84147069,179660.771709517,19,351087,0000000,350,Bronson Market,Bronson Market,1408 BRONSON WAY N,98057
1269966.36155811,106624.026379108,20,351088,0000000,350,Brooklake  Bistro #2,Brooklake Christian School,629 S 356th ST,98003
1272188.29740295,228650.113035098,21,351661,0000000,350,City Market,City Market,1722 BELLEVUE AVE,98122
1345766.5406661,134127.466778934,22,351664,0000000,350,City Perk,City Perk,23912 SE KENT KANGLEY RD,98038
1304132.74302836,227618.702040181,23,351667,0000000,350,City Soups @ Key Center,City Soups @ Key Center,601 108TH AVE NE,98004
1305330.12514803,206101.155836523,24,2342,0000000,510,Newport Hills Freeway Station,Newport Hills Freeway Station,I-405 & Lake Washington Blvd SE,98006
1302080.22679219,242597.152070105,25,350691,0000000,350,Beach Cafe,Beach Cafe,1170 CARILLON PT,98033
1301237.09790103,176142.06614852,26,650062,588381,65,Renton Police Department,Renton PD,1055 S Grady Way,98057
1321976.20012352,204931.327139437,27,6005030,0000000,600,Lakemont - Lakemont Blvd Open Space,Lakemont - Lakemont Blvd Open Space,NE Woodinville-Duvall Rd and 188th NE,00000
1268377.24990694,267459.187975854,28,1144,0000000,690,Kmart Plaza Center,Kmart Plaza Center,Aurora Ave N & N 130th St,98160
1322500.84015036,248939.574096516,29,628,366126,150,Redmond Chamber of Commerce,Redmond CC,16210 NE 80th,98052
1269941.39507261,114473.785942018,30,650047,712916,65,Federal Way Police Department,Federal Way PD,33325 8th Ave S,98003
1305923.08590436,224471.920932189,31,3600023,99911,360,Hilton-Bellevue,Hilton,300 112th Ave SE,98004
1268180.42090428,225386.070022523,32,6300007,835915,630,Pier 59-Aquarium,Pier 59 - Aquarium,1483 Alaskan Way ,98101
1263617.45791736,259786.88114202,33,5400009,259587,530,QFC (Arts Food Center),QFC (Art's Food Center),9999 Holman Rd NW,98177
1268473.47707669,225735.074901938,34,5400010,0000000,530,Rotary Grocery,Rotary Grocery,1503 Pike Pl,98101
1269504.74994853,226835.46902661,35,6900069,834694,690,"Westlake Center, Suite 400",Westlake,400 Pine St,98101
1274473.14191461,289103.362863272,36,3000001,0000000,300,Nile Temple Golf Course,Nile Temple GC,NE 205th St & 5th Ave NE,98043
1304401.13914511,227268.700115517,37,1500003,95568,150,Bellevue Downtown Assoc,Bellevue Downtown Assoc,500 108th Ave NE,98004
1298355.7499892,208618.117994189,38,6002615,0000000,600,Ellis Pond,Ellis Pond,SE 156th St and 240th Ave SE,00000
1342410.5060396,268422.179160103,39,6002959,0000000,600,Tolt Pipeline Trail Site,Tolt Pipeline Trail Site,100th Ave NE and NE 64th St to NE 132nd St and Big Rock Rd,98072
1298778.92499585,262466.525060937,40,6002700,0000000,600,Juanita Heights Park,Juanita Heights Park,NE 124th St and 89th Pl. NE,98034
1354823.54584603,66249.2590316832,41,6003010,0000000,600,Mount Peak Farm,Mount Peak Farm,276th Ave SE and SE 472nd St,98022
1374562.68484536,128296.492876604,42,6004601,0000000,600,Sugarloaf Mountain Forest,Sugarloaf Mountain Forest,Approximately 323rd Ave SE and SE 285th St,98051
1384795.0751417,197630.620940357,43,6005164,0000000,600,Chanticleer Park,Chanticleer Park,7114 Chanticleer Ave SE,98065
1391258.23085052,187728.651899189,44,6005077,0000000,600,Snoqualmie Point Park,Snoqualmie Point Park,37580 SE Winery Rd,98065
1354528.78003135,77563.5290540159,45,6004564,0000000,600,Guenther Park,Guenther Park,911 Battersby,98022
1271394.75010553,213194.312581941,46,660045,457985,66,Station 14,14,3224 4th Ave S,98134
1352912.96370919,74604.3732269406,47,351670,0000000,350,Clancy'S Coffee,Clancy'S Coffee,920 ROOSEVELT AVE,98022
1312087.0000857,259868.000074267,48,6600122,35270,664,Washington Network for Innovative Careers,WANIC,11605 132nd Ave NE,98034
