FULLNAME,TITLE,THEME,UPDATEFREQ,FIRSTADDED_OPENDATA,LASTPOSTED_SDW,WHENREFRESHED_OPENDATA,SHAPEFILE
ada_ramp_point,RoadsGIS.RSDLIB.ADA_Ramp_point,transportation,Update Frequency not available,20171108,20210308,20210310,YES
address_point,Addresses in King County,admin,Monthly,20160428,20210309,20210310,YES
airdst_area,Airport Districts of King County,district,As needed,20171107,20210309,20210310,YES
barricade_point,Barricades maintained by King County Roads Division,transportation,Daily,20171107,20210308,20210310,YES
bridges_point,Bridges Maintained by King County,transportation,As needed,20171107,20210308,20210310,YES
cemdst_area,Cemetery Districts of King County,district,As needed,20171107,20210309,20210310,YES
changeablemessagesign_point,Changeable Message Sign,transportation,As needed,20171121,20210308,20210310,YES
city_area,Incorporated Areas of King County,admin,As needed,20160303,20210306,20210310,YES
city_annex_area,Cities with Pending Annexations and Annexation History,admin,As needed,20160927,20210306,20210310,YES
city_kc_area,Cities and Unincorporated King County,admin,As needed,20160919,20210306,20210310,YES
citydst_area,Incorporated Areas of King County,district,As needed,20160502,20210309,20210310,YES
comfort_stations_point,King County Metro Comfort Stations,transportation,Daily,20171121,20210309,20210310,YES
congdst_area,Congressional Districts in King County,district,As needed,20171121,20210309,20210310,YES
curb_line,Curb maintained by King County Roads Division,transportation,Update Frequency not available,20171108,20210308,20210310,YES
cut_pbrs_timber_area,King County Public Benefit Rating System and Timberland Current Use Taxation Properties,natres,As needed,20160927,20210307,20210310,YES
delineator_point,Traffic Delineator,transportation,As needed,20171108,20210308,20210310,YES
dirdst_area,Seattle School Board Director Districts,district,As needed,20171121,20210309,20210310,YES
dstcode_area,District Codes,district,As needed,20171108,20210309,20210310,YES
facility_point,Wastewater Treatment Facilities of King County,utility,Continually,20171108,20210309,20210310,YES
fence_line,Fence maintained by King County Roads Division,transportation,Update Frequency not available,20171121,20210308,20210310,YES
firdst_area,Fire Protection Districts of King County,district,As needed,20160919,20210309,20210310,YES
flasher_point,Title not available,transportation,Update Frequency not available,20171121,20210308,20210310,YES
gutter_line,Gutter maintained by King County Roads Division,transportation,Update Frequency not available,20171121,20210308,20210310,YES
gwsource_point,Groundwater Sources,hydro,Weekly,20160920,20210307,20210310,YES
headwall_point,Headwall maintained by King County Roads Division,transportation,Update Frequency not available,20171121,20210308,20210310,YES
hspdst_area,Hospital Districts,district,As needed,20171121,20210309,20210310,YES
hydrogauge_point,King County Hydrological Monitoring Gauges,hydro,Weekly,20171108,20210307,20210310,YES
jerseybarrier_line,Jersey Barrier maintained by King County Roads Division,transportation,Update Frequency not available,20171121,20210308,20210310,YES
juddst_area,District Court of King County,district,As needed,20160828,20210309,20210310,YES
kccdst_area,Metropolitan King County Council,district,As needed,20160828,20210309,20210310,YES
legdst_area,Washington State Legislative Districts in King County,district,As needed,20161028,20210309,20210310,YES
libdst_area,Rural Library District,district,As needed,20171219,20210309,20210310,YES
marinestations_point,Marine Stations in King County,hydro,Weekly,20191024,20210307,20210310,NO
mowableslope_line,Mowable Slope maintained by King County Roads Division,transportation,Update Frequency not available,20171107,20210308,20210310,YES
mundst_area,Municipal Districts,district,As needed,20171220,20210309,20210310,YES
noxiousweeddata_point,Noxious Weeds Survey Sitings,enviro,Weekly,20181025,20210309,20210310,NO
parcel_area,Parcel,property,Weekly,20161102,20210306,20210310,YES
parcel_address_area,Parcels for King County with Address; Property and Ownership Information,property,Weekly,20161102,20210309,20210310,NO
park_area_kcparksonly,Title not available,recreatn,Update Frequency not available,20161108,99999999,20210310,NULL
parkopdist_area,maint.PARKS.ParkOpDist_Area,recreatn,Update Frequency not available,20171220,20210303,20210310,YES
pattern_line,King County Metro Pattern ,transportation,Daily,20171121,20210309,20210310,YES
pavementmarking_point,Pavement Markings,transportation,Daily,20171108,20210308,20210310,YES
planterbox_point,Planter Box maintained by King County Roads Division,transportation,Update Frequency not available,20171220,20210308,20210310,YES
planterstrip_line,Planter Strip maintained by King County Roads Division,transportation,Update Frequency not available,20171108,20210308,20210310,YES
pole_point,Title not available,transportation,Update Frequency not available,20171108,20210308,20210310,YES
