City, 2000 Census Corrected,2010 Census
Algona,2460,3014
Kirkland,45054,48787
Carnation,1893,1786
Redmond,45256,54144
Woodinville,9809,10938
Renton,50052,90927
Skykomish,214,198
Mercer Island,22036,22699
Pacific (K.C. portion),5373,6514
Uninc. King County,349234,325002
Des Moines,29267,29673
North Bend,4746,5731
Snoqualmie,1631,10670
Medina,3011,2969
Duvall,4616,6695
Tukwila,17181,19107
Newcastle,7737,10380
Bothell (K.C.portion),16119,17090
Burien *,31881,33313
Enumclaw,11116,10669
Sammamish,34104,45780
Milton (K.C.portion),814,831
Issaquah,11212,30434
Maple Valley,14209,22684
Hunts Point,443,394
Bellevue,109827,122363
Federal Way,83259,89306
Shoreline,53296,53007
Lake Forest Park,12871,12598
Beaux Arts,307,299
Clyde Hill,2890,2984
Black Diamond,3970,4151
Covington,13783,17575
Normandy Park,6392,6335
Kent *,79524,92411
Seattle,563376,608660
SeaTac,25496,26909
Yarrow Point,1008,1001
Auburn (K.C. portion),42901,62761
Kenmore,18678,20460
